p300;Departure;01.01.0001 0:01:27;Екатеринбург
p10;Arrival;01.01.0001 0:03:54;Санкт-Петербург
p100;Departure;01.01.0001 0:05:55;Екатеринбург
p300;Departure;01.01.0001 0:07:54;Пермь
p300;Departure;01.01.0001 0:09:37;Санкт-Петербург
p300;Arrival;01.01.0001 0:09:44;Екатеринбург
p50;Departure;01.01.0001 0:10:35;Екатеринбург
p300;Arrival;01.01.0001 0:15:01;Санкт-Петербург
p300;Departure;01.01.0001 0:23:12;Омск
p200;Arrival;01.01.0001 0:24:28;Пермь
p300;Arrival;01.01.0001 0:26:18;Санкт-Петербург
p50;Arrival;01.01.0001 0:26:24;Омск
p50;Arrival;01.01.0001 0:31:38;Санкт-Петербург
p10;Arrival;01.01.0001 0:39:19;Екатеринбург
p10;Departure;01.01.0001 0:44:00;Екатеринбург
p50;Departure;01.01.0001 0:44:48;Пермь
p100;Arrival;01.01.0001 0:45:58;Екатеринбург
p200;Arrival;01.01.0001 0:48:14;Екатеринбург
p10;Departure;01.01.0001 0:51:35;Омск
p50;Departure;01.01.0001 0:51:53;Санкт-Петербург
p10;Arrival;01.01.0001 0:59:20;Санкт-Петербург
p100;Departure;01.01.0001 0:59:59;Екатеринбург
p100;Arrival;01.01.0001 1:00:18;Екатеринбург
p300;Departure;01.01.0001 1:03:18;Санкт-Петербург
p300;Departure;01.01.0001 1:07:48;Пермь
p10;Arrival;01.01.0001 1:08:11;Омск
p50;Departure;01.01.0001 1:10:55;Екатеринбург
p300;Departure;01.01.0001 1:20:03;Пермь
p50;Departure;01.01.0001 1:23:49;Санкт-Петербург
p100;Arrival;01.01.0001 1:27:19;Москва
p10;Arrival;01.01.0001 1:27:58;Омск
p100;Arrival;01.01.0001 1:32:58;Санкт-Петербург
p200;Arrival;01.01.0001 1:35:17;Омск
p200;Arrival;01.01.0001 1:37:56;Москва
p200;Arrival;01.01.0001 1:37:57;Москва
p10;Arrival;01.01.0001 1:38:13;Санкт-Петербург
p300;Departure;01.01.0001 1:39:18;Омск
p10;Departure;01.01.0001 1:44:51;Москва
p50;Arrival;01.01.0001 1:45:02;Пермь
p100;Departure;01.01.0001 1:45:50;Омск
p10;Departure;01.01.0001 1:49:59;Омск
p300;Arrival;01.01.0001 1:50:45;Москва
p300;Arrival;01.01.0001 1:51:10;Омск
p300;Departure;01.01.0001 1:51:41;Пермь
p10;Arrival;01.01.0001 1:51:49;Санкт-Петербург
p10;Departure;01.01.0001 1:55:10;Омск
p200;Arrival;01.01.0001 1:55:55;Санкт-Петербург
p10;Arrival;01.01.0001 1:56:25;Екатеринбург
p50;Arrival;01.01.0001 10:00:16;Омск
